repository_name,language
.github,
aioshumway,Python
android-auth,HTML
android-sdk,HTML
android-store-service,Python
annoy,C++
annoy-java,Java
apollo,Java
apollo-elide,Java
apollo-metrics,
apps-tutorial,
argo-rollouts,
async-datastore-client,Java
async-google-pubsub-client,Java
backup-utils,Shell
basic-pitch,Python
basic-pitch-ts,TypeScript
batty,Python
bazel,
bazel-tools,Java
beam,Java
big-data-rosetta-code,Scala
bigtable-autoscaler,Java
boilerplate-app,
bucket-runner,JavaScript
cartography,Python
cassandra-extra,Java
cassandra-medusa,Python
cassandra-opstools,Java
cassandra-reaper,
causify,
certcheck,Python
chartify,Python
code-of-conduct,
collectd,C
comet,Python
comet-common,Python
comet-core,Python
completable-futures,Java
condor,Java
confidence,Python
confidence-sdk-android,Kotlin
confidence-sdk-flutter,Dart
confidence-sdk-go,Go
confidence-sdk-java,Java
confidence-sdk-js,TypeScript
confidence-sdk-python,Python
confidence-sdk-rust,Rust
confidence-sdk-swift,Swift
container-agent,Python
conversion-api-tag-template,Smarty
cookiecutter-golang,Go
coordinator,HTML
crtauth,Python
crtauth-java,Java
crtauth-java-agent-signer-apache,Java
crunch-lib,Java
cstar,Python
daemon-java,Java
dataenum,Java
DataflowJavaSDK,Java
dataproc-java-submitter,Java
dataprocxy,Python
dbeam,Java
debify,Shell
dh-virtualenv,Python
diffuser,Swift
dns-java,Java
docgenerator,Java
docker-alpine,
docker-bigtable,Go
docker-cassandra,Shell
docker-client,Java
docker-gc,Shell
docker-kafka,Shell
docker-maven-plugin,Java
docker-stress,Python
dockerfile-maven,Java
dockerfile-mode,Emacs Lisp
docker_interface,Python
drserv,Python
druid,
duck,Ruby
echoprint-codegen,C++
echoprint-server,Java
elasticsearch-index-window,Java
elitzur,Scala
eslint-config-oss,JavaScript
etcd,Go
featran,Scala
ffwd,Java
ffwd-client-java,Java
ffwd-http-client,Java
ffwd-ruby,Ruby
flink,Java
flink-docker,
flink-on-k8s-operator,Go
flo,Java
flume-syslog-source2,Java
flyte-flink-plugin,Go
fmt-maven-plugin,Java
folsom,Java
foss-root,
futures-extra,Java
futuristic-feline,Java
gcp-audit,Python
gcp-aws-iam-federation-webidentity,HCL
gcp-firewall-enforcer,Python
gcs-tools,Scala
ghelog,Python
gimme,Python
git-test,Shell
github-java-client,Java
google-http-java-client,Java
gordon,Python
gordon-gcp,Python
gordon-introspection,Python
gordon-janitor,Python
gordon-janitor-gcp,Python
griffin,Python
hadoop-openpgp-codec,Java
hdfs2cass,Java
helios,Java
helios-go,Go
helios-skydns,Java
heroic,Java
heroic-client-go,Go
heroic-client-java,Java
homebrew-public,Ruby
hornet,Scala
HubFramework,Objective-C
hush-tab,JavaScript
hype,Java
hyperflo,Scala
ieee-spm-vocals-tutorial,Jupyter Notebook
ios-auth,Objective-C
ios-ci,Shell
ios-sdk,Objective-C
ios-style,
java-hamcrest,Java
java-lkk,Java
java-locales,Java
jenkins-coverage-poster,Groovy
jira-lkk-bridge,Java
JniHelpers,C++
jsconfeu-2013,JavaScript
kafka,Scala
kairosdb,Java
kernel-common,
klio,Python
lemur,Python
lighthouse-audit-service,TypeScript
limbo,Scala
lingon,JavaScript
linux,C
logging-java,Java
luigi,Python
lyceum,Clojure
mace,
magnolify,Scala
metrics-munin-reporter,Java
missinglink,Java
mlockexec,Python
mobius,Java
mobius-android-sample,Java
Mobius.swift,Swift
moob,Ruby
netty-batch-flusher,Java
netty-zmtp,Java
noether,Scala
okta-sdk-python,Python
openfeature-kotlin-sdk,Kotlin
openfeature-swift-sdk,Swift
pedalboard,C++
PeqBank,C
perf-map-agent,C
